borrowing_id,member_id,book_id,borrow_date,due_date,return_date,late_fee
1,1,1,2025-07-01,2025-07-15,2025-07-14,0.0
2,2,2,2025-07-01,2025-07-15,,
3,3,3,2025-06-10,2025-06-24,2025-06-26,1.5
4,4,4,2025-06-05,2025-06-19,2025-06-20,0.5
5,5,5,2025-07-10,2025-07-24,,
6,6,6,2025-06-15,2025-06-29,2025-07-01,2.0
7,7,7,2025-07-05,2025-07-19,2025-07-19,0.0
8,8,8,2025-06-20,2025-07-04,2025-07-03,0.0
9,9,9,2025-07-11,2025-07-25,,
10,10,10,2025-07-01,2025-07-15,2025-07-16,1.0
11,11,11,2025-07-03,2025-07-17,,
12,12,12,2025-06-22,2025-07-06,2025-07-08,1.5
13,13,13,2025-06-25,2025-07-09,2025-07-09,0.0
14,14,14,2025-07-02,2025-07-16,2025-07-18,1.0
15,15,15,2025-07-06,2025-07-20,,
16,16,1,2025-06-10,2025-06-24,2025-06-23,0.0
17,17,2,2025-07-01,2025-07-15,2025-07-20,2.5
18,18,3,2025-06-30,2025-07-14,,
19,19,4,2025-07-08,2025-07-22,2025-07-22,0.0
20,20,5,2025-07-10,2025-07-24,,
21,1,6,2025-06-01,2025-06-15,2025-06-20,2.5
22,2,7,2025-06-20,2025-07-04,2025-07-06,1.0
23,3,8,2025-07-05,2025-07-19,,
24,4,9,2025-07-07,2025-07-21,2025-07-22,0.5
25,20,15,2025-07-20,2025-08-03,,
